鄉鎮市區,交易標的,土地移轉總面積平方公尺,移轉層次,總樓層數,建物型態,主要用途,主要建材,建物移轉總面積平方公尺,建物現況格局.房,建物現況格局.廳,建物現況格局.衛,建物現況格局.隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積.平方公尺.,車位總價元,主建物面積,附屬建物面積,陽台面積,電梯
永康區,房地(土地+建物),99.86,全,四層,透天厝,住家用,鋼筋混凝土構造,287.0,5,2,6,1,無,27500000,95819,,0.0,0,263.34,0.0,23.66,0
永康區,土地,295.25,,,其他,,,0.0,0,0,0,1,無,4090000,13853,,0.0,0,0.0,0.0,0.0,0
永康區,土地,81.57,,,其他,,,0.0,0,0,0,1,無,3638022,44600,,0.0,0,0.0,0.0,0.0,0
永康區,房地(土地+建物),11.99,五層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,89.44,2,2,2,1,有,4300000,48077,,0.0,0,54.78,2.49,5.75,1
永康區,土地,43.88,,,其他,,,0.0,0,0,0,1,無,1325800,30214,,0.0,0,0.0,0.0,0.0,0
永康區,房地(土地+建物),161.66,全,二層,透天厝,住家用,鋼筋混凝土造,181.38,4,2,3,1,無,5170002,28504,,0.0,0,157.69,15.68,8.01,0
安南區,房地(土地+建物),69.75,全,四層,透天厝,住商用,鋼筋混凝土造,145.47,5,3,4,1,無,19800000,136111,,0.0,0,132.73,0.0,12.74,0
中西區,土地,9.84,,,其他,,,0.0,0,0,0,1,無,1200000,121951,,0.0,0,0.0,0.0,0.0,0
新營區,房地(土地+建物),16.08,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,115.33,3,2,2,1,有,3860000,33469,,0.0,0,74.46,0.81,12.61,1
鹽水區,房地(土地+建物),96.59,全,二層,透天厝,住商用,加強磚造,111.81,2,1,2,1,無,3000000,26831,,0.0,0,111.81,0.0,0.0,0
永康區,房地(土地+建物),46.74,全,四層,透天厝,住家用,鋼筋混凝土造,105.32,5,2,3,1,無,6500000,61717,,0.0,0,88.75,0.0,16.57,0
永康區,房地(土地+建物),24.09,全,二層,透天厝,住家用,加強磚造,27.45,4,2,2,1,無,700000,25501,,0.0,0,24.62,1.5,1.33,0
永康區,土地,161.0,,,其他,,,0.0,0,0,0,1,無,24750000,153727,,0.0,0,0.0,0.0,0.0,0
永康區,建物,0.0,全,五層,透天厝,住商用,鋼筋混凝土構造,400.84,5,2,4,1,無,8250000,20582,,0.0,0,367.89,0.0,32.95,1
永康區,土地,160.37,,,其他,,,0.0,0,0,0,1,無,6065000,37819,,0.0,0,0.0,0.0,0.0,0
